name,ratings,price,camera,display,battery,storage,ram,processor,android_version
"SAMSUNG Galaxy M32 (Light Blue, 64 GB)",4.2,16999,48,other_types,6000,64,4,not mentioned,11
"SAMSUNG Galaxy M34 5G without charger (Prism Silver, 128 GB)",3.7,24490,50,other_types,6000,128,8,not mentioned,13
"SAMSUNG Galaxy A13 (Peach, 64 GB)",4.2,14499,50,other_types,5000,64,4,not mentioned,12
"SAMSUNG Galaxy S22 ultra 5G (Burgundy, 256 GB)",4.4,23463,108,other_types,5000,256,12,not mentioned,12
"SAMSUNG Galaxy M34 5G without charger (Prism Silver, 128 GB)",3.7,21299,50,other_types,6000,128,6,not mentioned,13
"SAMSUNG Galaxy On6 (Blue, 64 GB)",4.3,17600,13,other_types,3000,64,4,not mentioned,8
"SAMSUNG Galaxy Z Flip4 5G (Pink Gold, 128 GB)",4.2,24463,12,HD+ AMOLED,3700,128,8,Snapdragon1P,12
"SAMSUNG Galaxy A23 (Peach, 128 GB)",4.0,18990,50,other_types,5000,128,8,not mentioned,12
"SAMSUNG Galaxy A12 (Blue, 64 GB)",4.5,13999,48,LCD,5000,64,4,not mentioned,11
"SAMSUNG Galaxy On Max (Black, 32 GB)",4.1,19900,13,other_types,3300,32,4,MediaTek,7
"SAMSUNG Galaxy Z Fold3 5G (Phantom Green, 256 GB)",4.3,18927,12,AMOLED,4400,256,12,Snapdragon888,11
"SAMSUNG Galaxy A13 (Green, 128 GB)",4.3,19990,50,other_types,5000,128,4,not mentioned,12
"SAMSUNG Galaxy F02s (Diamond Blue, 64 GB)",4.2,10990,13,other_types,5000,64,4,Snapdragon450,10
"SAMSUNG Galaxy M30s (Quartz Green, 64 GB)",4.2,12990,48,other_types,6000,64,4,not mentioned,9
"SAMSUNG Galaxy J3 Pro (Black, 16 GB)",4.2,8490,8,other_types,2600,16,2,not mentioned,10
"SAMSUNG Galaxy A13 (Blue, 128 GB)",4.1,15499,50,other_types,5000,128,4,not mentioned,12
"SAMSUNG Galaxy J3 Pro (Gold, 16 GB)",4.2,8490,8,other_types,2600,16,2,not mentioned,5
"SAMSUNG Galaxy S22 5G (Green, 256 GB)",4.3,14463,50,AMOLED,3700,256,8,not mentioned,12
"SAMSUNG Galaxy S22 Ultra 5G (Phantom White, 256 GB)",4.2,26462,108,AMOLED,5000,256,12,not mentioned,12
"SAMSUNG Galaxy Z Fold4 5G (Graygreen, 256 GB)",4.2,23927,50,HD+ AMOLED,4400,256,12,Snapdragon1P,12
"SAMSUNG Galaxy M12 (White, 128 GB)",4.1,16999,48,other_types,6000,128,6,not mentioned,11
"SAMSUNG Galaxy A30s (Prism Crush White, 64 GB)",4.3,18900,25,other_types,4000,64,4,not mentioned,9
"SAMSUNG Galaxy A50s (Prism Crush Violet, 128 GB)",4.3,21070,48,other_types,4000,128,4,not mentioned,9
"SAMSUNG Galaxy On Nxt (Gold, 16 GB)",4.3,11200,13,other_types,3300,16,3,not mentioned,6
"SAMSUNG Galaxy A50s (Prism Crush Black, 128 GB)",2.9,21070,48,other_types,4000,128,4,not mentioned,9
"SAMSUNG Galaxy Z Fold4 5G (Phantom Black, 256 GB)",3.9,23927,50,HD+ AMOLED,4400,256,12,Snapdragon1P,12
"SAMSUNG M01 core (Blue, 32 GB)",4.2,6490,8,LCD,3000,32,2,MediaTek,10
"SAMSUNG Galaxy A03s (Blue, 64 GB)",4.2,11499,50,LCD,5000,64,4,not mentioned,12
"SAMSUNG Galaxy M14 5G (ICY Silver, 128 GB)",4.2,14885,50,other_types,6000,128,4,Snapdragon(SDM450-F01),10
